image_id,sherd_id,unit,part,type,image_side,image_id_original,unit_C,part_C,type_C
JD00001_exterior,JD00001,L01,rim,guan,exterior,JD_00001,H690①,口沿,罐
JD00001_interior,JD00001,L01,rim,guan,interior,JD_00002,H690①,口沿,罐
JD00002_exterior,JD00002,L01,rim,guan,exterior,JD_00003,H690①,口沿,罐
JD00002_interior,JD00002,L01,rim,guan,interior,JD_00004,H690①,口沿,罐
JD00003_exterior,JD00003,L01,body,,exterior,JD_00005,H690①,腹片,
JD00003_interior,JD00003,L01,body,,interior,JD_00006,H690①,腹片,
JD00004_exterior,JD00004,L01,rim,,exterior,JD_00007,H690①,口沿,
JD00004_interior,JD00004,L01,rim,,interior,JD_00008,H690①,口沿,
JD00005_exterior,JD00005,L01,rim,,exterior,JD_00009,H690①,口沿,
JD00005_interior,JD00005,L01,rim,,interior,JD_00010,H690①,口沿,
JD00006_exterior,JD00006,L01,body,,exterior,JD_00011,H690①,腹片,
JD00006_interior,JD00006,L01,body,,interior,JD_00012,H690①,腹片,
JD00007_exterior,JD00007,L01,rim,,exterior,JD_00013,H690①,口沿,
JD00007_interior,JD00007,L01,rim,,interior,JD_00014,H690①,口沿,
JD00008_exterior,JD00008,L01,rim,xiao guan,exterior,JD_00015,H690①,口沿,小罐
JD00008_interior,JD00008,L01,rim,xiao guan,interior,JD_00016,H690①,口沿,小罐
JD00009_exterior,JD00009,L01,body,,exterior,JD_00017,H690①,腹片,
JD00009_interior,JD00009,L01,body,,interior,JD_00018,H690①,腹片,
JD00010_exterior,JD00010,L01,body,,exterior,JD_00019,H690①,腹片,
JD00010_interior,JD00010,L01,body,,interior,JD_00020,H690①,腹片,
JD00011_exterior,JD00011,L01,base,,exterior,JD_00021,H690①,器底,
JD00011_interior,JD00011,L01,base,,interior,JD_00022,H690①,器底,
JD00012_exterior,JD00012,L01,body,,exterior,JD_00023,H690①,腹片,
JD00012_interior,JD00012,L01,body,,interior,JD_00024,H690①,腹片,
JD00013_exterior,JD00013,L01,body,,exterior,JD_00025,H690①,腹片,
JD00013_interior,JD00013,L01,body,,interior,JD_00026,H690①,腹片,
JD00014_exterior,JD00014,L01,body,,exterior,JD_00027,H690①,腹片,
JD00014_interior,JD00014,L01,body,,interior,JD_00028,H690①,腹片,
JD00015_exterior,JD00015,L01,body,,exterior,JD_00029,H690①,腹片,
JD00015_interior,JD00015,L01,body,,interior,JD_00030,H690①,腹片,
JD00016_exterior,JD00016,L01,body,,exterior,JD_00031,H690①,腹片,
JD00016_interior,JD00016,L01,body,,interior,JD_00032,H690①,腹片,
JD00017_exterior,JD00017,L01,neck,,exterior,JD_00033,H690①,颈部,
JD00017_interior,JD00017,L01,neck,,interior,JD_00034,H690①,颈部,
JD00018_exterior,JD00018,L01,body,,exterior,JD_00035,H690①,腹片,
JD00018_interior,JD00018,L01,body,,interior,JD_00036,H690①,腹片,
JD00019_exterior,JD00019,L01,body,,exterior,JD_00037,H690①,腹片,
JD00019_interior,JD00019,L01,body,,interior,JD_00038,H690①,腹片,
JD00020_exterior,JD00020,L01,body,,exterior,JD_00039,H690①,腹片,
JD00020_interior,JD00020,L01,body,,interior,JD_00040,H690①,腹片,
JD00021_exterior,JD00021,L01,body,,exterior,JD_00041,H690①,腹片,
JD00021_interior,JD00021,L01,body,,interior,JD_00042,H690①,腹片,
JD00022_exterior,JD00022,L01,body,,exterior,JD_00043,H690①,腹片,
JD00022_interior,JD00022,L01,body,,interior,JD_00044,H690①,腹片,
JD00023_exterior,JD00023,L01,round foot,,exterior,JD_00045,H690①,圈足,
JD00023_interior,JD00023,L01,round foot,,interior,JD_00046,H690①,圈足,
JD00024_exterior,JD00024,L01,body,,exterior,JD_00047,H690①,腹片,
JD00024_interior,JD00024,L01,body,,interior,JD_00048,H690①,腹片,
JD00025_exterior,JD00025,L01,body,,exterior,JD_00049,H690①,腹片,
JD00025_interior,JD00025,L01,body,,interior,JD_00050,H690①,腹片,
JD00026_exterior,JD00026,L01,rim,guan,exterior,JD_00051,H690①,口沿,罐
JD00026_interior,JD00026,L01,rim,guan,interior,JD_00052,H690①,口沿,罐
JD00027_exterior,JD00027,L01,base,,exterior,JD_00053,H690①,器底,
JD00027_interior,JD00027,L01,base,,interior,JD_00054,H690①,器底,
JD00028_exterior,JD00028,L01,rim,guan,exterior,JD_00055,H690①,口沿,罐
JD00028_interior,JD00028,L01,rim,guan,interior,JD_00056,H690①,口沿,罐
JD00029_exterior,JD00029,L01,body,,exterior,JD_00057,H690①,腹片,
JD00029_interior,JD00029,L01,body,,interior,JD_00058,H690①,腹片,
JD00030_exterior,JD00030,L01,body,,exterior,JD_00059,H690①,腹片,
JD00030_interior,JD00030,L01,body,,interior,JD_00060,H690①,腹片,
JD00031_exterior,JD00031,L01,body,,exterior,JD_00061,H690①,腹片,
JD00031_interior,JD00031,L01,body,,interior,JD_00062,H690①,腹片,
JD00032_exterior,JD00032,L01,body,,exterior,JD_00063,H690①,腹片,
JD00032_interior,JD00032,L01,body,,interior,JD_00064,H690①,腹片,
JD00033_exterior,JD00033,L01,body,,exterior,JD_00065,H690①,腹片,
JD00033_interior,JD00033,L01,body,,interior,JD_00066,H690①,腹片,
JD00034_exterior,JD00034,L01,body,,exterior,JD_00067,H690①,腹片,
JD00034_interior,JD00034,L01,body,,interior,JD_00068,H690①,腹片,
JD00035_exterior,JD00035,L01,body,,exterior,JD_00069,H690①,腹片,
JD00035_interior,JD00035,L01,body,,interior,JD_00070,H690①,腹片,
JD00036_exterior,JD00036,L01,body,,exterior,JD_00071,H690①,腹片,
JD00036_interior,JD00036,L01,body,,interior,JD_00072,H690①,腹片,
JD00037_exterior,JD00037,L01,body,,exterior,JD_00073,H690①,腹片,
JD00037_interior,JD00037,L01,body,,interior,JD_00074,H690①,腹片,
JD00038_exterior,JD00038,L01,body,,exterior,JD_00075,H690①,腹片,
JD00038_interior,JD00038,L01,body,,interior,JD_00076,H690①,腹片,
JD00039_exterior,JD00039,L01,body,,exterior,JD_00077,H690①,腹片,
JD00039_interior,JD00039,L01,body,,interior,JD_00078,H690①,腹片,
JD00040_exterior,JD00040,L01,body,,exterior,JD_00079,H690①,腹片,
JD00040_interior,JD00040,L01,body,,interior,JD_00080,H690①,腹片,
JD00041_exterior,JD00041,L01,rim,guan,exterior,JD_00081,H690①,口沿,罐
JD00041_interior,JD00041,L01,rim,guan,interior,JD_00082,H690①,口沿,罐
